country,meal_name,core_ingredients,recipes,cook_time,substitutes,meal_type,notes,cuisine_region,spices_seasoning,cook_time_minutes
Kenya,Muthokoi,"Dehulled maize, beans",Slow-boil until soft,90,Green grams,Main,Shared with Embu,east_africa,"salt, pepper",90.0
Kenya,Nzenga,Green grams,Boil until soft,50,Mash or fry,Main,Common protein,east_africa,"salt, pepper",50.0
Kenya,Kithaku,"Cowpea leaves, groundnuts",Boil leaves → Add pounded groundnuts,30,Pumpkin leaves,Side,Ceremonial,east_africa,"salt, pepper",30.0
Kenya,Thabai,Arrowroots,Boil → Serve,30,Sweet potatoes,Main,Seasonal,east_africa,"salt, pepper",30.0
Kenya,Nzuu,Sun-dried maize,Rehydrate → Boil,90,Mix with beans,Main,Drought food,east_africa,"salt, pepper",90.0
Kenya,Mbembe,Maize flour,Cook stiff paste,15,Millet flour,Main,Staple,east_africa,"salt, pepper",15.0
Kenya,Kienyeji Chicken,Indigenous chicken,Slow-cook until tender,120,Goat meat,Main,Ceremonial,east_africa,"salt, pepper",120.0
Kenya,Githeri ya Njahi,"Black beans, maize",Boil together,100,Fry version,Main,Protein-rich,east_africa,"salt, pepper",100.0
Kenya,Mchuzi wa Pweza,"Octopus, onion, tomato, spices",Tenderise octopus → Slow-cook with onions and tomatoes until rich and thick,90,Use squid,Main,Traditional coastal delicacy,east_africa,"salt, pepper",90.0
Kenya,Kuku wa Kupaka,"Chicken, coconut milk, spices",Grill chicken → Simmer in spiced coconut sauce,45,Use fish,Main,Festive home dish,east_africa,"salt, pepper",45.0
Kenya,Mbaazi za Nazi,"Pigeon peas, coconut milk",Boil peas → Simmer gently in coconut milk,40,Beans instead of peas,Main,Ramadan and home food,east_africa,"salt, pepper",40.0
Kenya,Ndizi za Kupaka,"Green bananas, coconut milk",Boil bananas → Simmer in coconut sauce,35,Cassava,Main,Everyday coastal meal,east_africa,"salt, pepper",35.0
Kenya,Tambi za Nazi,"Rice noodles, coconut milk",Simmer noodles in coconut milk,25,Wheat noodles,Main,Simple household meal,east_africa,"salt, pepper",25.0
Kenya,Chigwede,"Cassava leaves, groundnuts",Boil leaves → Add pounded groundnuts → Simmer,40,Pumpkin leaves,Main,Deeply traditional,east_africa,"salt, pepper",40.0
Kenya,Wali wa Nazi,"Rice, coconut milk",Cook rice using coconut milk,30,Plain rice,Main,Everyday staple,east_africa,"salt, pepper",30.0
Kenya,Samaki wa Kupaka,"Fish, coconut paste",Grill fish → Coat with coconut sauce,35,Bake instead of grill,Main,Coastal classic,east_africa,"salt, pepper",35.0
Kenya,Vibibi,"Rice flour, coconut milk",Steam batter into soft cakes,30,Wheat flour,Snack,Breakfast food,east_africa,"salt, pepper",30.0
Kenya,Mkate wa Sinia,"Wheat flour, coconut milk",Bake sweet coconut bread,45,Less sugar,Snack,Traditional baked good,east_africa,"salt, pepper",45.0
Kenya,Atapar,"Meat, water, salt",Boil meat slowly into thick broth,120,Goat or camel,Main,Core Turkana food,east_africa,"salt, pepper",120.0
Kenya,Lokot,Wild leafy greens,Boil → Fry lightly,20,Pumpkin leaves,Side,Indigenous wild food,east_africa,"salt, pepper",20.0
Kenya,Ekalale,"Sorghum flour, water",Cook thick sorghum paste,20,Millet flour,Main,Staple food,east_africa,"salt, pepper",20.0
Kenya,Qalwo,"Millet flour, milk",Cook millet → Add milk → Simmer,20,Sorghum,Main,Signature Borana dish,east_africa,"salt, pepper",20.0
Kenya,Koche,"Meat, spices",Slow-cook meat with minimal seasoning,90,Goat meat,Main,Traditional meat stew,east_africa,"salt, pepper",90.0
Kenya,Anjera Qaro,Sorghum flour,Cook soft fermented flatbread,20,Teff substitute,Main,Shared Cushitic food,east_africa,"salt, pepper",20.0
Kenya,Foon Dhoobo,Camel milk,Drink fresh or fermented,0,Cow milk,Beverage,Daily pastoral food,east_africa,"salt, pepper",0.0
Kenya,Roasted Camel Meat,Camel meat,Roast slowly over fire,60,Goat meat,Main,Ceremonial food,east_africa,"salt, pepper",60.0
Kenya,Samburu Meat Soup,"Meat, herbs",Boil meat long hours into broth,120,Add fat,Main,Strength and recovery food,east_africa,"salt, pepper",120.0
Kenya,Fermented Milk,Milk,Ferment naturally,0,Plain milk,Beverage,Daily nourishment,east_africa,"salt, pepper",0.0
Kenya,Nzenga,"Green grams, water, salt",Boil green grams slowly until soft → Lightly season → Serve as main,50,Mash lightly or fry with onions,Main,Core everyday Ukambani food,east_africa,"salt, pepper",50.0
Kenya,Kunde (Nyunyi),"Sun-dried meat, water",Boil dried meat until soft → Lightly fry before serving,60,Goat meat instead of beef,Main,Traditional preserved meat,east_africa,"salt, pepper",60.0
Kenya,Muthokio,"Maize, beans",Boil maize and beans together until tender,75,Add pumpkin leaves,Main,Food security dish,east_africa,"salt, pepper",75.0
Kenya,Kithaku,"Cowpea leaves, groundnuts",Boil leaves → Add pounded groundnuts → Simmer,30,Pumpkin leaves,Side,Ceremonial vegetable,east_africa,"salt, pepper",30.0
Kenya,Mbose,"Finger millet flour, water",Cook into thick porridge while stirring,15,Sorghum flour,Main,Traditional staple,east_africa,"salt, pepper",15.0
Kenya,Nzuu,Sun-dried maize,Boil maize grains until soft,90,Mix with beans,Main,Drought-season food,east_africa,"salt, pepper",90.0
Kenya,Kitwii,Green bananas,Boil bananas → Mash lightly,30,Add milk,Main,Seasonal food,east_africa,"salt, pepper",30.0
Kenya,Kikoto,Roasted maize,Roast maize over fire until charred,20,Boiled maize,Snack,Common rural snack,east_africa,"salt, pepper",20.0
Kenya,Likhubi,"Millet flour, vegetables",Cook flour into soft mash → Add vegetables,20,Sorghum flour,Main,Traditional mixed dish,east_africa,"salt, pepper",20.0
Kenya,Namakhalo,"Pumpkin leaves, milk",Boil leaves → Simmer with milk,25,Cowpea leaves,Side,Ceremonial vegetable,east_africa,"salt, pepper",25.0
Kenya,Ingoho,Termites,Clean → Fry or dry-roast,10,Sun-dry for storage,Snack,Seasonal delicacy,east_africa,"salt, pepper",10.0
Kenya,Tsimbande,"Beans, maize flour",Cook beans → Thicken with maize flour,60,Use sorghum,Main,Thick traditional stew,east_africa,"salt, pepper",60.0
Kenya,Esikhati,Cowpea leaves,Boil → Fry lightly,20,Add groundnuts,Side,Common daily food,east_africa,"salt, pepper",20.0
Kenya,Busuma bwa Madira,Millet flour,Cook into stiff porridge,15,Sorghum,Main,Ceremonial staple,east_africa,"salt, pepper",15.0
Kenya,Amabere Amaruranu,Sour milk,Ferment milk naturally,0,Plain milk,Beverage,Cultural dairy,east_africa,"salt, pepper",0.0
Kenya,Lisutsa,"Chicken, onions",Slow-cook chicken until tender,90,Goat meat,Main,Traditional chicken stew,east_africa,"salt, pepper",90.0
Kenya,Risosa,Green bananas,Boil bananas → Mash,30,Add milk,Main,Staple banana dish,east_africa,"salt, pepper",30.0
Kenya,Chinsaga,Spider plant,Boil → Fry lightly,20,Add groundnuts,Side,Indigenous bitter green,east_africa,"salt, pepper",20.0
Kenya,Obokima,Sorghum flour,Cook stiff porridge,15,Millet flour,Main,Ceremonial staple,east_africa,"salt, pepper",15.0
Kenya,Emonywa,"Pumpkins, maize",Boil together until soft,40,Add beans,Main,Seasonal food,east_africa,"salt, pepper",40.0
Kenya,Amakonde,Cassava,Boil or sun-dry then boil,30,Sweet potatoes,Main,Root crop staple,east_africa,"salt, pepper",30.0
Kenya,Nyama ya Enchoke,Goat meat,Boil then fry,90,Beef,Main,Festive meat dish,east_africa,"salt, pepper",90.0
Kenya,Oborabu,Millet flour,Cook into thick porridge,15,Sorghum,Main,Daily staple,east_africa,"salt, pepper",15.0
Kenya,Amabere Amang’ina,Fermented milk,Ferment milk → Stir → Serve,0,Plain sour milk,Beverage,Common dairy,east_africa,"salt, pepper",0.0
Kenya,Kimyet,Pumpkin leaves,Boil → Fry lightly,15,Cowpea leaves,Side,Indigenous vegetable,east_africa,"salt, pepper",15.0
Kenya,Sagetiek,"Millet flour, milk",Cook millet porridge → Add milk,20,Sorghum,Main,Energy food,east_africa,"salt, pepper",20.0
Kenya,Chepkube,Beans,Slow-cook beans for several hours,120,Add herbs,Main,Traditional slow food,east_africa,"salt, pepper",120.0
Kenya,Ng’etuny,Cowpea leaves,Boil → Fry,20,Add milk,Side,Common vegetable,east_africa,"salt, pepper",20.0
Kenya,Kapchepkendi,Sour milk,Ferment milk naturally,0,Plain fermented milk,Beverage,Daily drink,east_africa,"salt, pepper",0.0
Kenya,Kipkendi,Fermented grain drink,Ferment millet/sorghum,0,Non-alcoholic version,Beverage,Ceremonial,east_africa,"salt, pepper",0.0
Kenya,Tingeek,Meat broth,Boil meat slowly for soup,90,Add herbs,Main,Recovery food,east_africa,"salt, pepper",90.0
Kenya,Roasted Ox Meat,Beef,Roast over fire,45,Goat meat,Main,Ceremonial,east_africa,"salt, pepper",45.0
Kenya,Nkoriong,Roasted meat,Roast meat over open fire,45,Goat meat,Main,Core Maasai food,east_africa,"salt, pepper",45.0
Kenya,Kule naoto,Milk,Drink fresh or lightly fermented,0,Sour milk,Beverage,Daily food,east_africa,"salt, pepper",0.0
Kenya,Enkare naibor,"Milk, blood",Mix fresh blood with milk,0,Milk only,Beverage,Ceremonial,east_africa,"salt, pepper",0.0
Kenya,Olpurda,Meat stew,Boil meat until tender,90,Add herbs,Main,Household dish,east_africa,"salt, pepper",90.0
Kenya,Roasted Bone Marrow,Bones,Roast bones → Extract marrow,30,Boiled bones,Snack,Nutrient-rich,east_africa,"salt, pepper",30.0
Kenya,Enkima,Meat strips,Dry meat for preservation,0,Fry later,Protein,Dry-season food,east_africa,"salt, pepper",0.0
Kenya,Soup la Enkai,Meat broth,Long boil meat,120,Add fat,Main,Strength food,east_africa,"salt, pepper",120.0
Kenya,Milk Tea (Traditional),"Milk, tea leaves",Boil milk with tea,10,Plain milk,Beverage,Modern adaptation,east_africa,"salt, pepper",10.0
Uganda,Matoke,"Green bananas, onion, tomato, cooking oil","Spices: Garlic,Ginger
Method: Steam/Stew
Steps: Fry onion & spices of choice → Add bananas → Add water → Simmer
Time: 40 min",40 min,Pumpkin,Staple,National staple,east_africa,"salt, pepper",40.0
Uganda,Posho,"Maize flour, water","Method: Boil
Steps: Boil water → Add maize flour → Stir until firm
Time: 15 min",15 min,Millet flour,Staple,Common household food,east_africa,"salt, pepper",15.0
Uganda,Beans Stew,"Dry beans, onion, tomato, cooking oil, salt","Method: Stew
Steps: Boil beans → Fry onion, tomato, spices → Add beans → Simmer
Time: 45 min",45 min,Cowpeas,Legume dish,Daily household meal,east_africa,"salt, pepper",45.0
Uganda,Groundnut Stew,"Groundnuts, onion, tomato, cooking oil","Method: Stew
Steps: Fry onion → Add tomato → Add groundnut paste → Simmer
Time: 30 min",30 min,Peanut paste,Stew,Widely consumed,east_africa,"salt, pepper",30.0
Uganda,Katogo,"Matoke, beans or meat, cooking oil","Spices: Garlic, ginger
Method: Steam/Stew
Steps: Fry onion & spices → Add bananas → Add water → Simmer
Time: 40 min",40 min,Irish potatoes,Mixed dish,Breakfast/lunch,east_africa,"salt, pepper",40.0
Uganda,Rolex,"Eggs, chapati, onion, tomato, cooking oil","Method: Fry
Steps: Fry egg with onion & tomato → Wrap in chapati
Time: 10 min",10 min,Cabbage,Street meal,Extremely common,east_africa,"salt, pepper",10.0
Uganda,Sweet Potatoes,"Sweet potatoes, water","Method: Boil
Steps: Wash sweet potatoes → Peel if needed → Add to pot with water → Boil until tender → Drain and serve
Time: 25–35 min",25–35 min,"Yam, Butternut squash",Staple,Widely eaten,east_africa,"salt, pepper",30.0
Uganda,Cassava,"Cassava root, water","Method: Boil
Steps: Peel cassava → Cut into pieces → Wash → Boil in water until soft → Drain and serve
Time: 30–45 min",30–45 min,"Yuca root, Waxy potatoes, Parsnips",Staple,Rural & urban,east_africa,"salt, pepper",37.5
Uganda,Fish Stew,"Fresh fish, onion, tomato, cooking oil","Method: Stew   Steps: Fry onion, tomato, spices → Add fish → Simmer gently
Time: 30 min",30 min,Dagaa,Protein dish,Lakeside regions,east_africa,"salt, pepper",30.0
Uganda,Malewa,"Bamboo shoots, onion, cooking oil","Method: Fry
Steps: Fry onion → Add tomato → Add greens → Cook briefly
Time: 15 min",15 min,"Canned bamboo shoots, Hearts of palm",Vegetable dish,Eastern Uganda,east_africa,"salt, pepper",15.0
Uganda,Nakati,"Solanum leaves, onion, tomato, cooking oil","Method: Fry
Steps: Fry onion → Add tomato → Add greens → Cook briefly
Time: 15 min",15 min,Managu,Vegetable dish,Indigenous green,east_africa,"salt, pepper",15.0
Uganda,Doodo,"Amaranth leaves, onion, tomato, cooking oil","Method: Fry
Steps: Fry onion → Add tomato → Add greens → Cook briefly
Time: 15 min",15 min,Pumpkin leaves,Vegetable dish,Very common,east_africa,"salt, pepper",15.0
Uganda,Luwombo,"Meat, groundnuts, vegetables","Spices: Garlic, ginger
Method: Steam
Steps: Mix meat or groundnuts with onion, tomato, spices → Wrap in banana leaves → Place in pot → Add small amount of water → Steam until cooked
Time: 60–90 min",60–90 min,Banana leaves wrap,Stew,Traditional home dish,east_africa,"salt, pepper",75.0
Uganda,Uji,"Millet flour or sorghum flour, water","Method: Boil
Steps: Mix flour & water → Cook while stirring → Simmer → Serve
Time: 10 min",10 min,Maize flour,Porridge,Breakfast,east_africa,"salt, pepper",10.0
Uganda,Boiled Groundnuts,"Fresh groundnuts, water","Method: Boil
Steps: Wash groundnuts → Add to pot with water → Add salt (optional) → Boil until soft → Drain and serve
Time: 45–60 min",45–60 min,Roasted,Protein snack,Seasonal,east_africa,"salt, pepper",52.5
Tanzania,Ugali,"Maize flour, water","Method: Boil
Steps: Boil water → Add flour  → Cook until done
Time: 15–30 min",15–30 min,"Sorghum flour, millet flour",Staple,National staple,east_africa,"salt, pepper",22.5
Tanzania,Wali,"Rice, water, salt","Method: Boil
Steps: Boil water → Add rice → Cook until done
Time: 15–30 min",15–30 min,Coconut rice (wali wa nazi),Staple,Common inland & coastal,east_africa,"salt, pepper",22.5
Tanzania,Maharage,"Dry beans, onion, tomato, cooking oil, salt","Spices: Garlic, ginger
Method: Stew
Steps: Boil beans → Fry onion, tomato, spices → Add beans → Simmer
Time: 45 min",45 min,Cowpeas,Legume dish,Daily household meal,east_africa,"salt, pepper",45.0
Tanzania,Samaki wa Kupika,"Fresh fish, onion, tomato, cooking oil, salt","Spices: Garlic, ginger, coriander
Method: Stew
Steps: Fry onion & spices → Add coconut milk → Add protein → Simmer
Time: 40 min",40 min,Dagaa,Protein dish,Widely consumed,east_africa,"salt, pepper",40.0
Tanzania,Dagaa,"Small dried fish, onion, tomato, cooking oil","Spices: Garlic, black pepper
Method: Fry/Stew
Steps: Fry onion, tomato, spices → Add fish → Cook briefly
Time: 20 min",20 min,Fresh sardines,Protein dish,Lake & coastal zones,east_africa,"salt, pepper",20.0
Tanzania,Ndizi Nyama,"Cooking bananas, beef, onion, tomato, oil","Spices: Garlic, ginger
Method: Stew
Steps: Fry onion & spices → Add meat → Add bananas → Simmer
Time: 45 min",45 min,"Goat meat, potatoes",Stew,Northern Tanzania,east_africa,"salt, pepper",45.0
Tanzania,Sekela,"Beef, cooking bananas, onion, tomato, cooking oil","Spices: Garlic, ginger
Method: Stew
Steps: Fry onion & spices → Add meat → Add bananas → Simmer
Time: 45 min",45 min,Goat meat,One-pot dish,NW Tanzania staple,east_africa,"salt, pepper",45.0
Tanzania,Kisamvu,"Cassava leaves, onion, cooking oil","Spices: Garlic
Method: Fry
Steps: Fry onion → Add tomato → Add greens → Cook
Time: 15 min",15 min,Spinach,Vegetable dish,Lake zones,east_africa,"salt, pepper",15.0
Tanzania,Mchicha,"Amaranth leaves, onion, tomato, cooking oil","Spices: Garlic
Method: Fry
Steps: Fry onion → Add tomato → Add greens → Cook
Time: 15 min",15 min,Pumpkin leaves,Vegetable dish,Indigenous leafy vegetable,east_africa,"salt, pepper",15.0
Tanzania,Mboga za Majani,"Mixed leafy greens, onion, tomato, oil","
Method: Fry
Steps: Fry onion → Add tomato → Add greens → Cook
Time: 15 min",15 min,Sukuma wiki,Vegetable dish,Generic daily greens,east_africa,"salt, pepper",15.0
Tanzania,Viazi,"Irish potatoes, water","Method: Boil
Steps: Wash sweet potatoes → Peel if needed → Add to pot with water → Boil until tender → Drain and serve
Time: 25–35 min",25–35 min,Sweet potatoes,Staple,Household food,east_africa,"salt, pepper",30.0
Tanzania,Mihogo,"Cassava root, water","Method: Boil
Steps: Wash Cassava → Peel if needed→ Add to pot with water → Boil until tender → Drain and serve
Time: 25–35 min",25–35 min,Irish Potatoes,Staple,Rural & peri-urban,east_africa,"salt, pepper",30.0
Tanzania,Chapati,"Wheat flour, water, cooking oil, salt","Method: Fry
Steps: Mix flour, water, oil, and salt → Knead into soft dough → Roll into flat circles → Cook on hot pan until golden on both sides
Time: 30–40 min",30–40 min,Whole-wheat chapati,Flatbread,Common accompaniment,east_africa,"salt, pepper",35.0
Tanzania,Kuku Stew,"Chicken, onion, tomato, cooking oil, salt","Method: Stew   Steps: Fry onion, tomato, spices → Add chicken → Simmer gently
Time: 30 min",30 min,Duck meat,Stew,Home-style protein,east_africa,"salt, pepper",30.0
Tanzania,Uji,"Millet or sorghum flour, water","Method: Boil
Steps: Mix flour & water → Cook while stirring → Simmer → Serve
Time: 10 min",10 min,Maize flour,Porridge,Breakfast / light meal,east_africa,"salt, pepper",10.0
Ethiopia,Shiro,"Chickpea flour, onion, garlic, oil, spices","Spices: Garlic, ginger, berbere
Method: Stew
Steps: Fry onion & spices → Add flour→ Simmer
Time: 30–40 min",30–40 min,Lentil flour,Legume stew,Very common,east_africa,"salt, pepper",35.0
Ethiopia,Misir Wot,"Red lentils, onion, garlic, oil, berbere","Spices: Garlic, ginger, berbere
Method: Stew
Steps: Fry onion & spices → Add lentils → Simmer
Time: 30–40 min",30–40 min,Yellow lentils,Legume stew,Widely consumed,east_africa,"salt, pepper",35.0
Ethiopia,Kik Alicha,"Yellow split peas, onion, garlic, oil","Spices: Garlic, ginger, berbere
Method: Stew
Steps: Fry onion & spices → Add split peas → Simmer
Time: 30–40 min",30–40 min,Lentils,Legume stew,Mild stew,east_africa,"salt, pepper",35.0
Ethiopia,Tibs,"Beef, onion, garlic, oil, spices","Spices: Garlic, ginger, berbere (optional black pepper)
Method: Fry
Steps: Heat oil → Fry onions → Add garlic, ginger, spices → Add meat → Cook until done
Time: 25–30 min",25–30 min,Goat meat,Protein dish,Home & restaurant,east_africa,"salt, pepper",27.5
Ethiopia,Doro Wot,"Chicken, onion, garlic, berbere, eggs","Spices: Garlic, ginger, berbere
Method: Stew
Steps: Fry onion & spices → Add chicken → Simmer → Add eggs
Time: 60 min",60 min,Duck meat,Stew,Common household dish,east_africa,"salt, pepper",60.0
Ethiopia,Gomen,"Collard greens, onion, garlic, oil","Spices: Garlic, ginger
Method: Stew
Steps: Fry onion → Add vegetables → Simmer
Time: 30 min",30 min,Kale,Vegetable dish,Daily vegetable,east_africa,"salt, pepper",30.0
Ethiopia,Atakilt Wat,"Cabbage, carrot, potato, onion, oil","Spices: Garlic, ginger
Method: Stew
Steps: Fry onion → Add vegetables → Simmer
Time: 30 min",30 min,Cauliflower,Vegetable stew,Simple & common,east_africa,"salt, pepper",30.0
Ethiopia,Firfir,"Injera pieces, spices, oil","Spices: Garlic, ginger, berbere
Method: Fry
Steps: Fry onions → Add garlic, ginger, spices → Add torn injera → Mix and heat through
Time: 15–20 min",15–20 min,Tomato firfir,Mixed dish,Breakfast/light meal,east_africa,"salt, pepper",17.5
Ethiopia,Kinche,"Cracked wheat, water","Method: Boil
Steps: Boil water → Add cracked wheat → Cook while stirring → Simmer until soft
Time: 20–25 min",20–25 min,Barley,Porridge,Breakfast,east_africa,"salt, pepper",22.5
Ethiopia,Ful Medames,"Fava beans, onion, oil","Method: Stew
Steps: Boil fava beans → Fry onions and garlic → Add peas → Simmer and mash lightly
Time: 30–40 min",30–40 min,Chickpeas,Legume dish,Urban breakfast,east_africa,"salt, pepper",35.0
Ethiopia,Boiled Potatoes,"Potatoes, water","Method: Boil
Steps: Wash potatoes → Peel if desired → Boil in water until soft → Drain and serve
Time: 20–30 min",20–30 min,Sweet potatoes,Staple,Rural households,east_africa,"salt, pepper",25.0
Ethiopia,Lentil Soup,"Lentils, onion, garlic, oil","Method: Boil / Stew
Steps: Wash lentils → Boil in water until soft → Fry onions with garlic and ginger → Add to lentils → Simmer briefly and serve
Time: 30–40 min",30–40 min,Split peas,Soup,Common fasting food,east_africa,"salt, pepper",35.0
Ethiopia,Cabbage Stew,"Cabbage, onion, oil","Spices: Garlic, ginger (optional black pepper)
Method: Stew
Steps: Fry onions → Add garlic, ginger → Add cabbage → Add little water → Simmer until soft
Time: 25–30 min",25–30 min,Greens,Vegetable dish,Affordable,east_africa,"salt, pepper",27.5
South Sudan,Kisra,"Sorghum flour, water","Method: Cook
Steps: Mix sorghum flour with water to make thin batter → Heat flat pan → Pour batter and spread thin → Cook until set → Remove and serve
Time: 20–30 min",20–30 min,Millet flour,Staple,National staple flatbread,east_africa,"salt, pepper",25.0
South Sudan,Asida,"Sorghum flour, water","Method: Boil
Steps: Boil water → Slowly add sorghum flour while stirring → Stir until thick and smooth → Cook briefly and serve
Time: 15–20 min",15–20 min,Millet flour,Staple,Thick porridge,east_africa,"salt, pepper",17.5
South Sudan,Ful Medames,"Fava beans, onion, oil, salt","Method: Stew
Steps: Boil fava beans until soft → Fry onions and garlic → Add beans → Mash lightly → Simmer and serve
Time: 30–40 min",30–40 min,Cowpeas,Legume dish,Common breakfast,east_africa,"salt, pepper",35.0
South Sudan,Bamya,"Okra, onion, tomato, oil, salt","Spices: Garlic
Method: Stew
Steps: Fry onions in oil → Add tomatoes and garlic → Add okra → Add water → Simmer until soft
Time: 30–35 min",30–35 min,Dried okra,Vegetable stew,Very common,east_africa,"salt, pepper",32.5
South Sudan,Mulukhiyah,"Jute mallow leaves, water, salt","Method: Boil
Steps: Boil water → Add chopped leaves → Stir gently → Cook until soft → Serve
Time: 20–25 min",20–25 min,Pumpkin leaves,Vegetable dish,Indigenous leafy green,east_africa,"salt, pepper",22.5
South Sudan,Leafy Greens Stew,"Amaranth leaves, onion, oil, salt","Method: Stew
Steps: Fry onions → Add garlic → Add chopped greens → Add small amount of water → Simmer until tender
Time: 20–25 min",20–25 min,Cowpea leaves,Vegetable dish,Daily meal,east_africa,"salt, pepper",22.5
South Sudan,Meat Stew,"Beef, onion, tomato, oil, salt","Spices: Garlic, ginger, black pepper
Method: Stew
Steps: Boil meat until tender → Fry onions and spices → Add meat → Simmer until thick
Time: 60–75 min",60–75 min,Goat meat,Protein dish,Household staple,east_africa,"salt, pepper",67.5
South Sudan,Fish Stew,"Fresh fish, onion, tomato, oil","Spices: Garlic, black pepper
Method: Stew
Steps: Fry onions → Add tomatoes and spices → Add fish → Simmer gently until cooked
Time: 25–30 min",25–30 min,Dried fish,Protein dish,Riverine communities,east_africa,"salt, pepper",27.5
South Sudan,Lentil Stew,"Lentils, onion, oil, salt","Spices: Garlic, ginger
Method: Stew
Steps: Boil lentils until soft → Fry onions and spices → Add lentils → Simmer and serve
Time: 30–40 min",30–40 min,Split peas,Legume stew,Affordable protein,east_africa,"salt, pepper",35.0
South Sudan,Sorghum Porridge,"Sorghum flour, water","Method: Boil
Steps: Mix sorghum flour with water → Cook while stirring → Simmer until smooth → Serve warm
Time: 10–15 min",10–15 min,Millet flour,Porridge,Breakfast/light meal,east_africa,"salt, pepper",12.5
South Sudan,Boiled Cassava,"Cassava root, water","
Method: Boil
Steps: Peel cassava → Cut into pieces → Wash → Boil in water until soft → Drain and serve
Time: 30–45 min",30–45 min,Yam,Staple,Rural areas,east_africa,"salt, pepper",37.5
South Sudan,Boiled Groundnuts,"Fresh groundnuts, water","
Method: Boil
Steps: Wash groundnuts → Add to pot with water → Add salt (optional) → Boil until soft → Drain and serve
Time: 45–60 min",45–60 min,Roasted,Protein snack,Seasonal,east_africa,"salt, pepper",52.5
